class_name,sub_category,counts,proportion,mean_aps_score
vehicle,car,9427,0.4271022109459949,0.8999005966324335
human,pedestrian,5701,0.2582910474809713,0.9173539631054549
movable_object,barrier,2692,0.1219644798840159,0.8096503240983705
movable_object,traffic_cone,1574,0.0713120695904313,0.8934305474709328
vehicle,truck,851,0.0385556361000362,0.6765864593056407
vehicle,motorcycle,543,0.0246013048205871,0.8399030373657569
vehicle,bus,526,0.0238310982239942,0.7557234860562779
vehicle,bicycle,274,0.0124139180862631,0.6660532441834766
vehicle,construction_vehicle,245,0.0111000362450163,0.4424968709926783
vehicle,trailer,63,0.0028542950344327,0.6865219283855095
